rank,driver,abbreviation,points,max_points,delta_with_leader,points_needed_to_lead,can_still_win,pct_needed_of_remaining_to_lead,headroom_pct_if_perfect_finish,risk_zone
1,Oscar Piastri,,284.0,558,0.0,1.0,True,0.0,100.0,Safe
2,Lando Norris,,275.0,549,9.0,10.0,True,3.6,96.7,Safe
3,Max Verstappen,,187.0,461,97.0,98.0,True,35.8,64.6,Warning
4,George Russell,,172.0,446,112.0,113.0,True,41.2,59.1,Warning
5,Charles Leclerc,,151.0,425,133.0,134.0,True,48.9,51.5,Warning
6,Lewis Hamilton,,109.0,383,175.0,176.0,True,64.2,36.1,Danger
7,Andrea Kimi Antonelli,,64.0,338,220.0,221.0,True,80.7,19.7,Critical
8,Alexander Albon,,54.0,328,230.0,231.0,True,84.3,16.1,Critical
9,Nico HÃ¼lkenberg,,37.0,311,247.0,248.0,True,90.5,9.9,LastChance
10,Esteban Ocon,,27.0,301,257.0,258.0,True,94.2,6.2,LastChance
11,Fernando Alonso,,26.0,300,258.0,259.0,True,94.5,5.8,LastChance
12,Lance Stroll,,26.0,300,258.0,259.0,True,94.5,5.8,LastChance
13,Isack Hadjar,,22.0,296,262.0,263.0,True,96.0,4.4,LastChance
14,Pierre Gasly,,20.0,294,264.0,265.0,True,96.7,3.6,LastChance
15,Liam Lawson,,20.0,294,264.0,265.0,True,96.7,3.6,LastChance
16,Carlos Sainz,,16.0,290,268.0,269.0,True,98.2,2.2,LastChance
17,Gabriel Bortoleto,,14.0,288,270.0,271.0,True,98.9,1.5,LastChance
18,Yuki Tsunoda,,10.0,284,274.0,275.0,True,100.4,0.0,LastChance
19,Oliver Bearman,,8.0,282,276.0,277.0,False,101.1,0.0,Eliminated
20,Franco Colapinto,,0.0,274,284.0,285.0,False,104.0,0.0,Eliminated
21,Jack Doohan,,0.0,274,284.0,285.0,False,104.0,0.0,Eliminated
