year,round_cutoff,gp_name_cutoff,gp_date_cutoff,team,hamilton_points,teammate_name,teammate_points_to_date,teammate_gap
2007,17,Brazilian Grand Prix,2007-10-21 16:00:00,McLaren,109.0,Fernando Alonso,109.0,0.0
2008,18,Brazilian Grand Prix,2008-11-02 17:00:00,McLaren,98.0,Heikki Kovalainen,53.0,45.0
2009,17,Abu Dhabi Grand Prix,2009-11-01 11:00:00,McLaren,49.0,Heikki Kovalainen,22.0,27.0
2010,19,Abu Dhabi Grand Prix,2010-11-14 13:00:00,McLaren,240.0,Jenson Button,214.0,26.0
2011,19,Brazilian Grand Prix,2011-11-27 16:00:00,McLaren,227.0,Jenson Button,270.0,-43.0
2012,19,United States Grand Prix,2012-11-18 19:00:00,McLaren,190.0,Jenson Button,163.0,27.0
2013,19,Brazilian Grand Prix,2013-11-24 16:00:00,Mercedes,189.0,Nico Rosberg,171.0,18.0
2014,19,Abu Dhabi Grand Prix,2014-11-23 13:00:00,Mercedes,384.0,Nico Rosberg,317.0,67.0
2015,19,Abu Dhabi Grand Prix,2015-11-29 13:00:00,Mercedes,381.0,Nico Rosberg,322.0,59.0
2016,19,Mexican Grand Prix,2016-10-30 19:00:00,Mercedes,330.0,Nico Rosberg,349.0,-19.0
2017,19,Brazilian Grand Prix,2017-11-12 16:00:00,Mercedes,345.0,Valtteri Bottas,280.0,65.0
2018,19,Mexican Grand Prix,2018-10-28 00:00:00,Mercedes,358.0,Valtteri Bottas,227.0,131.0
2019,19,United States Grand Prix,2019-11-03 00:00:00,Mercedes,381.0,Valtteri Bottas,314.0,67.0
2020,17,Abu Dhabi Grand Prix,2020-12-13 00:00:00,Mercedes,347.0,Valtteri Bottas,223.0,124.0
2021,19,Ṣo Paulo Grand Prix,2021-11-14 00:00:00,Mercedes,318.5,Valtteri Bottas,203.0,115.5
2022,19,United States Grand Prix,2022-10-23 00:00:00,Mercedes,198.0,George Russell,218.0,-20.0
2023,19,Mexico City Grand Prix,2023-10-29 00:00:00,Mercedes,220.0,George Russell,151.0,69.0
2024,19,United States Grand Prix,2024-10-20 00:00:00,Mercedes,177.0,George Russell,167.0,10.0
2025,19,United States Grand Prix,2025-10-19 00:00:00,Ferrari,142.0,Charles Leclerc,192.0,-50.0
